,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
0,12.0,2.0,29.0,2.0,0.0,0.039165527,2.7046504,69.056915,12.331795,15.136584,12.245051,222.9361,68.77884,41.149216,32.120857,39.92894,41.162354,-1.0,-1.0,39.683014,0.89529413,0.07890062,0.9220055,2.288118,-41.56592,7.562157,-1.0,9.02836,-9.02836,0.18534555,0.0063858824,0.043201342,1.6236715,0.543009,0.604765,0.604765,0
1,14.0,2.0,39.0,2.0,0.0,0.033535972,2.8768535,85.78411,12.665839,15.394637,12.22823,304.05884,92.67912,55.338604,44.55497,53.96847,55.336098,-1.0,-1.0,54.464764,0.9512604,0.07033677,0.9295346,2.7431338,-57.073845,9.909794,-1.0,10.783633,-10.783633,0.25815272,0.006629279,0.040001515,1.659542,0.518732,0.613974,0.613974,0
2,16.0,2.0,48.0,2.0,0.0,0.029787002,2.8995132,97.34156,12.621452,15.388051,12.297773,409.17932,115.53734,68.10905,55.99878,66.63993,68.10504,-1.0,-1.0,66.978226,0.94828534,0.07084438,0.92898864,3.4005303,-63.396908,10.979448,-1.0,12.110272,-12.110272,0.34054697,0.007104782,0.042789362,1.6994268,0.510159,0.623923,0.623923,0
3,18.0,2.0,57.0,2.0,0.0,0.026052792,3.1258357,119.980835,11.736342,15.231459,12.388541,525.7642,138.71976,80.87949,67.396484,79.35069,80.8741,-1.0,-1.0,80.16346,0.97012144,0.077948436,0.9218623,4.443061,-66.13689,12.766973,-1.0,13.483008,-13.483008,0.3953876,0.0069481316,0.045277357,1.7233043,0.519331,0.633266,0.633266,0
4,20.0,2.0,65.0,2.0,0.0,0.021422131,2.7197397,126.95934,9.391176,14.929113,12.481245,656.3782,159.95203,92.231,77.807495,90.8534,92.22733,-1.0,-1.0,91.22835,0.96455324,0.09149268,0.90839416,5.9470243,-60.250862,13.420853,-1.0,14.42351,-14.42351,0.37318325,0.005737973,0.05093852,1.7440202,0.537622,0.651436,0.651436,0
5,22.0,2.0,72.0,2.0,0.0,0.020268638,2.6370645,130.10565,8.02732,14.538459,12.566661,792.2525,179.18275,102.163574,87.78237,100.825356,102.16082,-1.0,-1.0,101.560425,0.97880423,0.11682603,0.8830976,8.411474,-49.12644,13.778053,-1.0,14.381203,-14.381203,0.3823621,0.005301089,0.05927991,1.7648281,0.563623,0.680905,0.680905,0
6,24.0,2.0,77.0,2.0,0.0,0.022578591,2.309558,102.28973,6.5217357,14.100198,12.644895,939.25793,194.18022,109.25827,94.59255,107.995056,109.259315,-1.0,-1.0,107.70566,0.9552943,0.15621881,0.84380835,12.028849,-28.052277,13.113103,-1.0,14.665712,-14.665712,0.35443398,0.004612223,0.062070318,1.7720268,0.580058,0.707731,0.707731,0
7,26.0,2.0,81.0,2.0,0.0,0.030408185,2.3498797,77.27787,5.3181405,13.686541,12.716104,1087.1672,206.79868,114.93402,101.83387,113.88632,114.93665,-1.0,-1.0,115.23913,1.0031341,0.21913199,0.78093284,17.749691,0.12313319,13.405256,-1.0,13.10015,-13.10015,0.31561297,0.0038990448,0.062953115,1.7932868,0.588715,0.73121,0.73121,0
8,28.0,2.0,84.0,2.0,0.0,0.040548243,2.3080366,56.920753,3.4690523,13.33249,12.782478,1235.3497,216.83571,119.190834,108.52122,118.45523,119.19554,-1.0,-1.0,123.46809,1.0972692,0.33453593,0.6655764,28.101017,40.961666,14.946872,-1.0,10.669622,-10.669622,0.22243477,0.002645694,0.061962057,1.817153,0.5899085,0.735276,0.735276,0
9,30.0,2.0,85.0,2.0,0.0,0.03767088,2.121645,56.320557,1.9841287,13.061883,12.843831,1384.7965,222.30006,120.60977,106.12729,119.96825,120.61431,-1.0,-1.0,124.69702,1.0910578,0.5739555,0.4261514,48.786217,87.17967,18.569735,-1.0,14.48249,-14.48249,0.10972322,0.0012966017,0.04182541,1.761444,0.587169,0.701331,0.701331,0
0,12.0,2.0,32.0,2.0,0.0,0.052821487,3.1731002,60.072147,10.388245,15.650912,12.668224,208.94609,72.69695,45.406033,35.020237,44.524887,45.402306,-1.0,-1.0,44.14004,0.9162052,0.06682931,0.9329378,2.138538,-39.271786,9.119805,-1.0,10.385797,-10.385797,0.17509428,0.0054676593,0.033626366,1.578054,0.355702,0.661916,0.661916,1
1,14.0,2.0,42.0,2.0,0.0,0.044562247,2.8993292,65.062454,11.28125,15.872265,12.563497,284.71658,95.870575,59.595417,46.715176,58.59756,59.592445,-1.0,-1.0,57.470455,0.89379746,0.06522075,0.9346375,2.7392716,-50.949265,10.755278,-1.0,12.880241,-12.880241,0.27761874,0.0066132206,0.035752878,1.596478,0.349992,0.666622,0.6666215,1
2,16.0,2.0,51.0,2.0,0.0,0.038562976,3.0291038,78.54953,10.384367,15.82903,12.574103,380.29385,118.34022,72.36587,58.8914,71.418724,72.36092,-1.0,-1.0,71.10531,0.9451573,0.06898763,0.9308186,3.5183692,-57.916702,12.213909,-1.0,13.474466,-13.474466,0.3238933,0.0063536377,0.035747208,1.6499076,0.3589855,0.672983,0.672983,1
3,18.0,2.0,60.0,2.0,0.0,0.032746382,3.144626,96.02972,9.881707,15.638888,12.635727,494.61533,141.19978,85.136314,70.28318,84.21445,85.13002,-1.0,-1.0,83.66408,0.9452273,0.07808088,0.9217092,4.6848526,-60.303856,13.380898,-1.0,14.853133,-14.853133,0.3566805,0.0059535047,0.036334336,1.6802498,0.358999,0.682193,0.682193,1
4,20.0,2.0,69.0,2.0,0.0,0.028925389,3.1861064,110.14913,8.193491,15.337923,12.715597,624.8626,164.48972,97.90676,82.56796,97.09185,97.901146,-1.0,-1.0,96.9179,0.96507186,0.09227607,0.90756124,6.3670487,-53.696857,14.349936,-1.0,15.338795,-15.338795,0.3387733,0.0049216063,0.040473323,1.717356,0.3598075,0.691023,0.691022,1
5,22.0,2.0,77.0,2.0,0.0,0.03535427,2.7098498,76.648445,6.8582406,14.936769,12.801357,773.809,186.25623,109.25827,93.551834,108.53592,109.25518,-1.0,-1.0,108.03526,0.96138537,0.11658822,0.8833316,8.977293,-41.199715,14.483431,-1.0,15.706434,-15.706434,0.33917728,0.0044079926,0.043122943,1.7478852,0.354736,0.699436,0.699436,1
6,24.0,2.0,84.0,2.0,0.0,0.13398862,2.474863,18.470695,5.61034,14.493951,12.886963,938.5173,206.28094,119.190834,103.8816,118.716446,119.19025,-1.0,-1.0,118.07793,0.9658991,0.1540657,0.84592015,12.941519,-21.65459,14.196328,-1.0,15.309238,-15.309238,0.30582237,0.0036388128,0.044880293,1.7798091,0.350746,0.705089,0.705089,1
7,26.0,2.0,90.0,2.0,0.0,0.045586023,2.269726,49.789955,4.5730977,14.058557,12.969739,1115.6123,224.33078,127.70447,114.36898,127.18672,127.70825,-1.0,-1.0,128.1867,1.0026883,0.21178629,0.7882973,19.060766,5.478092,13.817726,-1.0,13.335487,-13.335487,0.3026117,0.0033653867,0.05554005,1.8208711,0.346473,0.71063,0.71063,1
8,28.0,2.0,94.0,2.0,0.0,0.067448094,2.4421372,36.207653,2.9626875,13.668222,13.047834,1307.9434,238.23517,133.38022,122.6005,132.9736,133.38458,-1.0,-1.0,138.05309,1.0908794,0.33100492,0.6690878,31.114462,48.617157,15.452582,-1.0,10.779718,-10.779718,0.19882545,0.0021144457,0.050878182,1.8603591,0.3464855,0.711232,0.711232,1
9,30.0,2.0,97.0,2.0,0.0,0.07375684,2.199972,29.827362,1.2644712,13.368937,13.1200485,1500.5486,249.6287,137.63704,123.925224,137.60388,137.64264,-1.0,-1.0,143.16,1.1064739,0.57307196,0.42704356,55.58798,100.016914,19.23478,-1.0,13.711814,-13.711814,0.062532365,0.00064788735,0.026298394,1.8333384,0.346422,0.672777,0.672777,1
0,12.0,2.0,33.0,2.0,0.0,0.07160293,2.9943118,41.818283,6.507196,15.328072,12.209766,215.86696,75.18152,46.82497,41.431458,45.738033,46.823223,-1.0,-1.0,49.80421,1.1790928,0.069905,0.92998904,2.306865,-49.123383,8.372754,-1.0,5.3935146,-5.3935146,0.11281379,0.0034232498,0.031899177,1.7551907,0.616331,0.520017,0.520017,2
1,14.0,2.0,42.0,2.0,0.0,0.056055825,3.0657544,54.691093,5.726378,15.467804,12.158857,302.6766,97.358925,59.595417,52.891506,58.419098,59.595413,-1.0,-1.0,62.83662,1.150911,0.06948863,0.9305112,2.9185224,-53.829105,9.945115,-1.0,6.7039137,-6.7039137,0.12621953,0.003002189,0.044636667,1.7740777,0.602156,0.517705,0.517705,2
2,16.0,2.0,52.0,2.0,0.0,0.04280273,3.401491,79.46902,7.052435,15.47959,12.195393,401.55106,121.98478,73.784805,65.537506,72.52147,73.77987,-1.0,-1.0,77.72213,1.1470305,0.07570487,0.9241055,3.9366534,-61.471565,12.184622,-1.0,8.247295,-8.247295,0.21099462,0.00406081,0.04287199,1.7831897,0.604621,0.509611,0.509611,2
3,18.0,2.0,61.0,2.0,0.0,0.030721655,3.103459,101.01861,6.022947,15.277901,12.269863,521.93964,145.28152,86.55525,77.74177,85.421936,86.55709,-1.0,-1.0,90.651764,1.1294725,0.085382566,0.9146777,5.2083364,-64.63138,12.909993,-1.0,8.81348,-8.81348,0.20873755,0.0034161648,0.047094014,1.8114302,0.607912,0.503701,0.503701,2
4,20.0,2.0,69.0,2.0,0.0,0.02522515,3.1122494,123.37883,6.618212,14.933846,12.352278,659.0333,167.08894,97.90676,88.53147,96.68807,97.90577,-1.0,-1.0,102.30443,1.1224293,0.10303427,0.8969373,7.109365,-55.79914,13.772956,-1.0,9.375287,-9.375287,0.2703685,0.0039157267,0.049782414,1.8322593,0.6208885,0.498892,0.498892,2
5,22.0,2.0,77.0,2.0,0.0,0.024383526,2.7655315,113.41803,5.8084884,14.533243,12.43395,806.8128,188.66159,109.25827,99.54482,108.21643,109.26258,-1.0,-1.0,114.29011,1.1258031,0.13018452,0.8699277,10.024208,-43.218815,14.745288,-1.0,9.713447,-9.713447,0.27416676,0.0035618981,0.05541348,1.848446,0.637177,0.498081,0.498081,2
6,24.0,2.0,83.0,2.0,0.0,0.019479608,2.6464026,135.85503,4.6114655,14.075241,12.511507,968.8692,206.43367,117.7719,108.47909,116.95672,117.773155,-1.0,-1.0,123.868576,1.1423515,0.17241175,0.82761836,14.310176,-20.613419,15.38949,-1.0,9.292812,-9.292812,0.23413545,0.0028230266,0.048461996,1.8676652,0.651613,0.500413,0.500413,2
7,26.0,2.0,88.0,2.0,0.0,0.025027901,2.4709222,98.72671,3.001169,13.637926,12.58461,1140.113,221.86115,124.86659,115.0226,124.270874,124.86811,-1.0,-1.0,130.2829,1.1191099,0.24732281,0.75271136,21.764408,9.892968,15.260297,-1.0,9.843989,-9.843989,0.15289415,0.001735605,0.051357258,1.8692609,0.659426,0.508571,0.508571,2
8,28.0,2.0,91.0,2.0,0.0,0.08226237,2.6765225,32.536415,2.0936108,13.252783,12.654281,1326.5524,232.96544,129.12341,120.16535,128.68488,129.12839,-1.0,-1.0,137.85635,1.1888802,0.3645362,0.63557315,33.172794,50.452675,17.691002,-1.0,8.958054,-8.958054,0.099227026,0.0010833443,0.043971583,1.8845087,0.663332,0.5182325,0.518233,2
9,30.0,2.0,93.0,2.0,0.0,0.050974637,2.2630167,44.394955,0.9793941,12.962187,12.721643,1520.0771,241.68073,131.96129,114.71549,131.80357,131.96603,-1.0,-1.0,135.96727,1.0843954,0.62322634,0.37687573,57.96005,104.660576,21.251778,-1.0,17.245792,-17.245792,0.029273605,0.00031495612,0.025385028,1.7964915,0.663906,0.514679,0.514679,2
0,12.0,2.0,25.0,2.0,0.0,0.090026826,3.1738446,35.254433,11.365354,14.938093,12.374667,182.55495,59.303455,35.473465,29.889746,34.7638,35.471443,-1.0,-1.0,35.672173,1.014375,0.094076455,0.90576196,2.3519113,-24.760633,5.7824273,-1.0,5.583718,-5.583718,0.14167345,0.005664979,0.025209716,1.6181707,0.595621,0.670616,0.670616,3
1,14.0,2.0,32.0,2.0,0.0,0.08232632,3.209028,38.979366,9.380948,15.058106,12.284999,252.31068,76.74275,45.406033,40.324696,44.70241,45.400993,-1.0,-1.0,47.592937,1.1351146,0.0894413,0.91024375,2.8621216,-34.333252,7.2682433,-1.0,5.081339,-5.081339,0.15091695,0.0047149914,0.023639914,1.6892465,0.582921,0.668911,0.668911,3
2,16.0,2.0,40.0,2.0,0.0,0.073918834,3.310546,44.78623,7.7344513,15.087791,12.309557,333.66794,96.4768,56.75754,52.180817,56.06236,56.752502,-1.0,-1.0,61.151093,1.2180758,0.08829941,0.9114488,3.5319762,-41.420723,8.970277,-1.0,4.576725,-4.576725,0.1616365,0.004037465,0.024174655,1.7389839,0.573925,0.663931,0.663931,3
3,18.0,2.0,48.0,2.0,0.0,0.061032537,3.1290252,51.26815,7.811506,14.9797735,12.380881,429.9711,116.85036,68.10905,61.982033,67.35836,68.103676,-1.0,-1.0,71.81348,1.1527437,0.09880432,0.90097183,4.742607,-44.259575,9.831443,-1.0,6.1270156,-6.1270156,0.21059251,0.0043870513,0.027639104,1.7336495,0.573816,0.655896,0.655896,3
4,20.0,2.0,56.0,2.0,0.0,0.05048961,2.9496534,58.421,7.546805,14.76286,12.470546,539.81116,137.80557,79.460556,71.7923,78.63198,79.455215,-1.0,-1.0,82.65328,1.1123838,0.118698,0.88111097,6.647088,-34.977474,10.860989,-1.0,7.6682644,-7.6682644,0.24481258,0.004365147,0.03938328,1.7318479,0.5678555,0.648216,0.6482155,3
5,22.0,2.0,62.0,2.0,0.0,0.041955147,2.9391837,70.05538,6.5081086,14.42499,12.567995,678.46375,155.45692,87.97419,81.14173,87.23138,87.96994,-1.0,-1.0,92.944214,1.1586893,0.14373204,0.85613084,8.9113865,-26.229256,11.80248,-1.0,6.8324547,-6.8324547,0.2432306,0.0039265207,0.038897473,1.7759992,0.5454755,0.640352,0.640352,3
6,24.0,2.0,69.0,2.0,0.0,0.031017194,2.7923982,90.02743,4.7448864,14.089754,12.665043,824.00745,175.08197,97.90676,90.93781,97.350426,97.9028,-1.0,-1.0,103.39497,1.1575332,0.17851734,0.8213682,12.317697,-10.963062,12.457162,-1.0,6.9689474,-6.9689474,0.20080668,0.0029171687,0.04198599,1.7947955,0.5331355,0.628263,0.628263,3
7,26.0,2.0,75.0,2.0,0.0,0.027896982,2.3310614,83.55962,3.2298992,13.7423525,12.760159,988.07025,192.8963,106.42039,99.14385,105.9622,106.41913,-1.0,-1.0,111.994026,1.1471745,0.24416924,0.75579727,18.312693,12.168068,12.850178,-1.0,7.276541,-7.276541,0.14152017,0.0018880137,0.043275867,1.8091321,0.5210255,0.608765,0.608765,3
8,28.0,2.0,79.0,2.0,0.0,0.03197645,2.487801,77.80104,2.0130408,13.421297,12.851737,1177.9948,206.64314,112.096146,106.6071,111.78112,112.09756,-1.0,-1.0,122.15572,1.2533032,0.36798874,0.63204706,29.07111,49.46427,15.548623,-1.0,5.4890437,-5.4890437,0.08116503,0.001019871,0.039449494,1.8503051,0.510964,0.5750535,0.575054,3
9,30.0,2.0,82.0,2.0,0.0,0.06495072,2.5419168,39.136086,0.82030004,13.171719,12.937771,1378.799,218.06813,116.35296,102.088585,116.228485,116.35583,-1.0,-1.0,120.43736,1.0985368,0.6373023,0.36276743,52.258785,93.74328,18.34878,-1.0,14.264377,-14.264377,0.019586276,0.00023774021,0.024565598,1.755649,0.50604,0.54152,0.54152,3
0,12.0,2.0,35.0,2.0,0.0,0.049911726,3.2265694,64.645515,8.077325,15.445098,12.187766,194.99382,76.582375,49.66285,43.931156,48.726097,49.66108,-1.0,-1.0,53.968945,1.2419899,0.07258742,0.92731124,2.5405598,-47.787697,10.03779,-1.0,5.731694,-5.731694,0.14224195,0.0040648137,0.035591494,1.7065505,0.703199,0.5434575,0.5434575,4
1,14.0,2.0,45.0,2.0,0.0,0.042587828,3.2714078,76.81556,7.5434313,15.627742,12.097302,270.83334,99.784775,63.852234,58.57604,62.89604,63.848656,-1.0,-1.0,71.40401,1.331066,0.070968494,0.9288723,3.1935823,-61.49432,12.827968,-1.0,5.2761946,-5.2761946,0.18079689,0.0040147705,0.031630695,1.7622907,0.689237,0.550466,0.550466,4
2,16.0,2.0,55.0,2.0,0.0,0.03850978,3.418329,88.76522,7.017193,15.600284,12.113951,363.3239,123.79044,78.04162,72.5429,77.08498,78.03682,-1.0,-1.0,87.43813,1.3361027,0.07426102,0.92556447,4.084356,-66.71365,14.895234,-1.0,5.4987197,-5.4987197,0.21794061,0.0039582993,0.03533649,1.7920399,0.686645,0.5519505,0.55195,4
3,18.0,2.0,64.0,2.0,0.0,0.03352179,3.574789,106.640755,6.277569,15.363752,12.175257,475.69476,146.75652,90.812065,83.94944,89.91167,90.80975,-1.0,-1.0,100.00928,1.2814698,0.084818125,0.9151096,5.42836,-67.06993,16.05984,-1.0,6.862628,-6.862628,0.23358104,0.003650183,0.031605326,1.8011079,0.696144,0.558851,0.558851,4
4,20.0,2.0,72.0,2.0,0.0,0.028002037,3.451141,123.24608,6.27154,14.988469,12.25297,605.964,168.37798,102.163574,94.10182,101.279854,102.16086,-1.0,-1.0,112.078354,1.2693422,0.10491855,0.8950056,7.5541353,-57.03084,17.976532,-1.0,8.061751,-8.061751,0.2752165,0.0038221723,0.03668851,1.8119397,0.706504,0.564255,0.564255,4
5,22.0,2.0,80.0,2.0,0.0,0.031182917,3.3036315,105.943634,5.4880266,14.559587,12.335894,750.48566,189.72481,113.51508,105.63995,112.66449,113.51604,-1.0,-1.0,124.53899,1.2694898,0.13180907,0.8682144,10.544725,-43.58889,18.899035,-1.0,7.87513,-7.87513,0.2872966,0.0035920825,0.038521558,1.8373628,0.717761,0.569131,0.569131,4
6,24.0,2.0,86.0,2.0,0.0,0.031322148,3.2333212,103.22795,4.615253,14.075826,12.417659,913.07404,207.41101,122.02872,114.12396,121.29571,122.03386,-1.0,-1.0,132.95378,1.2483749,0.17182451,0.82829505,14.776908,-23.015034,18.82982,-1.0,7.9047523,-7.9047523,0.27033097,0.0031386388,0.0421641,1.8554221,0.727496,0.581627,0.581627,4
7,26.0,2.0,90.0,2.0,0.0,0.040457636,3.0758698,76.02693,3.5420365,13.605721,12.497757,1094.2693,221.08415,127.70447,119.71194,127.06287,127.71033,-1.0,-1.0,138.01428,1.2241395,0.2349198,0.7652102,21.142782,8.154708,18.302343,-1.0,7.992529,-7.992529,0.22543633,0.0024988896,0.040569495,1.8697132,0.73079,0.602867,0.602867,4
8,28.0,2.0,93.0,2.0,0.0,0.08277987,2.6551285,32.074566,2.2448049,13.207922,12.575757,1284.5151,232.5089,131.96129,125.067024,131.5791,131.9698,-1.0,-1.0,145.14313,1.2795862,0.34643665,0.65374684,32.21861,48.23085,20.076105,-1.0,6.8942614,-6.8942614,0.13190132,0.001414092,0.032410003,1.8909441,0.728994,0.6150125,0.6150125,4
