,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
0,14.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,7.9799414,0.0,0.0,304.62234,95.23238,56.75754,56.75754,55.436394,56.6647,-1.0,-1.0,61.84038,1.251644,0.07434853,0.9210093,2.9739413,-57.96113,5.0828404,-1.0,0.0,0.0,0.17279886,0.0043214425,0.0302343,1.9370037,0.0,0.5755535,0
1,18.0,2.0,58.0,2.0,0.0,0.0,0.0,0.0,6.419997,0.0,0.0,533.97546,141.75423,82.29843,82.29843,80.75679,82.16263,-1.0,-1.0,91.14093,1.3019167,0.08283124,0.91248566,4.804212,-65.873604,8.842495,-1.0,0.0,0.0,0.24310896,0.0041960077,0.038793165,1.968296,0.0,0.574791,0
2,22.0,2.0,74.0,2.0,0.0,0.0,0.0,0.0,5.6139755,0.0,0.0,804.6858,184.90839,105.00145,105.00145,103.56713,104.86728,-1.0,-1.0,113.20204,1.2190063,0.12362845,0.8727455,9.148505,-47.750736,8.20059,-1.0,0.0,0.0,0.28822538,0.0038922513,0.055378836,1.9731299,0.0,0.596504,0
3,26.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,4.015415,0.0,0.0,1125.8596,213.08148,117.7719,117.7719,116.7236,117.743126,-1.0,-1.0,126.965164,1.2192847,0.22437817,0.7749286,18.623388,2.4992123,9.193266,-1.0,0.0,0.0,0.21204747,0.0025484974,0.051896233,1.9740962,0.0,0.657464,0
4,30.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,1.493434,0.0,0.0,1459.212,228.9103,123.447655,123.447655,122.89545,123.50864,-1.0,-1.0,132.70338,1.211363,0.5870268,0.4143749,51.07133,92.6997,9.255732,-1.0,0.0,0.0,0.06289781,0.0007177645,0.032876186,1.9593874,0.0,0.634219,0
0,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,7.353655,0.0,0.0,285.6271,98.72715,61.01436,61.01436,59.84083,60.907265,-1.0,-1.0,65.30363,1.196865,0.06314118,0.9318776,2.7150707,-53.67556,4.28927,-1.0,0.0,0.0,0.20023552,0.004660007,0.024446065,1.904699,0.0,0.648011,1
1,18.0,2.0,62.0,2.0,0.0,0.0,0.0,0.0,6.7036567,0.0,0.0,497.836,146.55284,87.97419,87.97419,86.73803,87.80886,-1.0,-1.0,93.213974,1.1645422,0.08279306,0.9118738,5.1331697,-56.672363,5.2397847,-1.0,0.0,0.0,0.2832397,0.004564058,0.0647609,1.9311155,0.0,0.638222,1
2,22.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,5.3699923,0.0,0.0,786.7779,192.49602,112.096146,112.096146,111.02451,111.93424,-1.0,-1.0,119.64289,1.1855713,0.122075126,0.87382585,9.643935,-39.20183,7.5467467,-1.0,0.0,0.0,0.30488944,0.003852722,0.05933342,1.9607966,0.0,0.633752,1
3,26.0,2.0,92.0,2.0,0.0,0.0,0.0,0.0,3.1275468,0.0,0.0,1156.0608,231.12175,130.54234,130.54234,129.96703,130.5098,-1.0,-1.0,138.89275,1.1759259,0.22301754,0.7762749,20.517614,10.036857,8.350401,-1.0,0.0,0.0,0.19038247,0.002064569,0.058843516,1.9889883,0.0,0.615137,1
4,30.0,2.0,99.0,2.0,0.0,0.0,0.0,0.0,0.92166007,0.0,0.0,1573.2397,256.99725,140.47491,140.47491,140.63527,140.5425,-1.0,-1.0,151.9829,1.2291706,0.5818255,0.41953996,57.600723,105.41258,11.50798,-1.0,0.0,0.0,0.032818727,0.00032885617,0.02229356,2.0016198,0.0,0.541361,1
0,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,6.1465554,0.0,0.0,289.41513,99.1624,61.01436,61.01436,59.838085,60.906918,-1.0,-1.0,64.34797,1.1535747,0.06893702,0.92606586,2.9642918,-56.14478,3.3336122,-1.0,0.0,0.0,0.15470307,0.0035993378,0.03574751,1.9111412,0.0,0.532365,2
1,18.0,2.0,61.0,2.0,0.0,0.0,0.0,0.0,6.861616,0.0,0.0,508.09393,145.55254,86.55525,86.55525,85.39154,86.39621,-1.0,-1.0,92.102776,1.1782215,0.08535585,0.90943,5.2067065,-63.18465,5.547525,-1.0,0.0,0.0,0.25768146,0.0042274934,0.040073827,1.9416689,0.0,0.506652,2
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.760182,0.0,0.0,791.15564,189.06372,109.25827,109.25827,108.37212,109.09452,-1.0,-1.0,115.23609,1.1516958,0.13145031,0.8642964,10.121674,-42.812405,5.9778247,-1.0,0.0,0.0,0.22632323,0.0029402596,0.046877205,1.9638115,0.0,0.500649,2
3,26.0,2.0,88.0,2.0,0.0,0.0,0.0,0.0,2.7844918,0.0,0.0,1137.1384,222.21605,124.86659,124.86659,124.437325,124.821724,-1.0,-1.0,131.35796,1.1448239,0.24593681,0.75304353,21.642439,10.270035,6.491365,-1.0,0.0,0.0,0.14714369,0.0016694319,0.04336612,1.9796576,0.0,0.4977605,2
4,30.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0,0.90687764,0.0,0.0,1527.2936,244.20322,133.38022,133.38022,133.3706,133.44438,-1.0,-1.0,137.69086,1.0905489,0.62615424,0.3752106,58.858498,106.22723,4.3106346,-1.0,0.0,0.0,0.025162563,0.00027444452,0.022548473,1.9846028,0.0,0.5007805,2
0,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,9.724345,0.0,0.0,238.7056,78.47996,46.82497,46.82497,46.065952,46.743034,-1.0,-1.0,47.39367,1.0332342,0.086793914,0.9082403,2.8641992,-37.186012,0.5686975,-1.0,0.0,0.0,0.16467139,0.0049930224,0.019392638,1.8249004,0.0,0.661451,3
1,18.0,2.0,48.0,2.0,0.0,0.0,0.0,0.0,5.235187,0.0,0.0,420.65555,116.95502,68.10905,68.10905,67.40295,67.98713,-1.0,-1.0,70.59788,1.102478,0.099142455,0.8957775,4.7588377,-44.23858,2.488828,-1.0,0.0,0.0,0.16227463,0.0033807214,0.025049187,1.8517118,0.0,0.646244,3
2,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.4216714,0.0,0.0,660.99603,157.44572,89.39313,89.39313,88.65891,89.27219,-1.0,-1.0,91.65707,1.0706744,0.14230885,0.8538518,8.965457,-27.065048,2.2639387,-1.0,0.0,0.0,0.21816097,0.0034597404,0.032391604,1.87417,0.0,0.625403,3
3,26.0,2.0,75.0,2.0,0.0,0.0,0.0,0.0,2.9293945,0.0,0.0,987.45306,193.01228,106.42039,106.42039,106.064,106.38788,-1.0,-1.0,109.73093,1.0872931,0.24441342,0.7547199,18.331007,12.521708,3.3105366,-1.0,0.0,0.0,0.12598735,0.0016827289,0.039464332,1.9058484,0.0,0.596611,3
4,30.0,2.0,82.0,2.0,0.0,0.0,0.0,0.0,0.867699,0.0,0.0,1387.1522,218.26085,116.35296,116.35296,116.37001,116.40245,-1.0,-1.0,118.12702,1.042599,0.64682114,0.35438606,53.039333,94.700356,1.774062,-1.0,0.0,0.0,0.021678323,0.0002622916,0.023531476,1.9326986,0.0,0.527112,3
0,14.0,2.0,45.0,2.0,0.0,0.0,0.0,0.0,6.235797,0.0,0.0,265.2373,100.02468,63.852234,63.852234,62.916775,63.73923,-1.0,-1.0,69.239655,1.2358403,0.074682325,0.9202953,3.3607047,-59.500706,5.3874207,-1.0,0.0,0.0,0.16709283,0.0037103533,0.02390678,1.8700224,0.0,0.539931,4
1,18.0,2.0,65.0,2.0,0.0,0.0,0.0,0.0,4.095404,0.0,0.0,459.72113,148.9319,92.231,92.231,91.43041,92.06538,-1.0,-1.0,100.67718,1.254986,0.08692374,0.9079799,5.650043,-68.880226,8.446173,-1.0,0.0,0.0,0.16446601,0.0025329352,0.026099494,1.8919027,0.0,0.547975,4
2,22.0,2.0,81.0,2.0,0.0,0.0,0.0,0.0,3.6801603,0.0,0.0,738.6657,192.05293,114.93402,114.93402,114.22579,114.76107,-1.0,-1.0,122.8736,1.190921,0.13816765,0.8575617,11.19158,-41.379734,7.939575,-1.0,0.0,0.0,0.20408304,0.0025171947,0.036752168,1.9276615,0.0,0.549117,4
3,26.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,2.6091564,0.0,0.0,1091.0054,223.92921,129.12341,129.12341,128.72066,129.08423,-1.0,-1.0,135.99762,1.1474403,0.24526055,0.7538784,22.31871,10.132098,6.874213,-1.0,0.0,0.0,0.15037067,0.0016582204,0.038256407,1.9569097,0.0,0.575776,4
4,30.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,0.99781966,0.0,0.0,1501.5955,242.8166,134.79916,134.79916,134.74457,134.86452,-1.0,-1.0,141.60437,1.1417036,0.61162287,0.38975313,58.10417,104.565605,6.8052096,-1.0,0.0,0.0,0.033893395,0.00036195453,0.018611902,1.975085,0.0,0.5787915,4
0,14.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,7.8173656,0.0,0.0,257.44586,82.05712,48.24391,48.24391,47.57716,48.164116,-1.0,-1.0,49.90606,1.0960649,0.07912638,0.9161799,2.690297,-40.665604,1.6621492,-1.0,0.0,0.0,0.14730656,0.0043322616,0.015238954,1.8567717,0.0,0.651596,5
1,18.0,2.0,51.0,2.0,0.0,0.0,0.0,0.0,6.3235188,0.0,0.0,445.17703,125.14015,72.36587,72.36587,71.61138,72.24689,-1.0,-1.0,74.66844,1.0887421,0.09191032,0.9034241,4.687426,-49.037846,2.3025765,-1.0,0.0,0.0,0.19892876,0.0039024053,0.021130083,1.8769397,0.0,0.642843,5
2,22.0,2.0,66.0,2.0,0.0,0.0,0.0,0.0,4.531429,0.0,0.0,701.222,166.42258,93.64994,93.64994,93.109375,93.523346,-1.0,-1.0,97.55831,1.1169419,0.13100207,0.86516166,8.646136,-33.574345,3.9083683,-1.0,0.0,0.0,0.18362921,0.0027787706,0.024083177,1.9018738,0.0,0.627671,5
3,26.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,2.4476345,0.0,0.0,1018.6085,203.88997,112.096146,112.096146,111.913826,112.05547,-1.0,-1.0,118.27995,1.1552532,0.22338319,0.7755871,17.647272,5.584209,6.183809,-1.0,0.0,0.0,0.115741365,0.0014616498,0.025666473,1.921211,0.0,0.588081,5
4,30.0,2.0,86.0,2.0,0.0,0.0,0.0,0.0,0.7657026,0.0,0.0,1398.2521,228.47913,122.02872,122.02872,122.23471,122.08414,-1.0,-1.0,126.30845,1.0986997,0.626133,0.3751559,53.84744,97.74205,4.279735,-1.0,0.0,0.0,0.019134529,0.0002263218,0.013571652,1.9368097,0.0,0.522562,5
0,14.0,2.0,54.0,2.0,0.0,0.0,0.0,0.0,5.7335844,0.0,0.0,286.31906,114.847694,76.62268,76.62268,75.54318,76.48989,-1.0,-1.0,88.19978,1.4246794,0.058637735,0.93644434,3.1664376,-86.61042,11.577103,-1.0,0.0,0.0,0.17696111,0.0032770901,0.027170062,1.9058757,0.0,0.688161,6
1,18.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.8864193,0.0,0.0,502.41052,168.98747,109.25827,109.25827,108.0817,109.04411,-1.0,-1.0,124.9914,1.4039897,0.07282838,0.9216093,5.607785,-101.663025,15.733134,-1.0,0.0,0.0,0.23183042,0.0030151783,0.03302644,1.9358218,0.0,0.685204,6
2,22.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,3.3344054,0.0,0.0,810.7725,217.20845,134.79916,134.79916,134.02158,134.58046,-1.0,-1.0,152.52205,1.3682079,0.1067071,0.8886886,10.137175,-77.96566,17.722889,-1.0,0.0,0.0,0.18802178,0.0019768658,0.037306454,1.9773217,0.0,0.726227,6
3,26.0,2.0,107.0,2.0,0.0,0.0,0.0,0.0,2.1138215,0.0,0.0,1207.6592,254.50206,151.82642,151.82642,151.56613,151.76962,-1.0,-1.0,168.53635,1.3078896,0.19369765,0.80524063,20.725649,-16.748838,16.709923,-1.0,0.0,0.0,0.121783674,0.0011428711,0.03714443,2.0144312,0.0,0.76151,6
4,30.0,2.0,113.0,2.0,0.0,0.0,0.0,0.0,0.75864166,0.0,0.0,1664.8925,278.33627,160.34006,160.34006,160.65663,160.42357,-1.0,-1.0,176.71643,1.287037,0.5512672,0.4502109,62.293194,117.8975,16.376377,-1.0,0.0,0.0,0.020789405,0.00018402329,0.016060682,2.0355654,0.0,0.664446,6
0,14.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,4.420502,0.0,0.0,262.30655,92.648384,56.75754,56.75754,56.222523,56.66232,-1.0,-1.0,61.789913,1.2484026,0.06780235,0.9274364,2.7120938,-52.500076,5.032372,-1.0,0.0,0.0,0.10219047,0.0025569615,0.014062541,1.865038,0.0,0.672796,7
1,18.0,2.0,59.0,2.0,0.0,0.0,0.0,0.0,5.273766,0.0,0.0,456.74963,139.57405,83.71738,83.71738,83.05413,83.568794,-1.0,-1.0,90.538765,1.2274445,0.086461574,0.9085021,5.101233,-56.64023,6.8213916,-1.0,0.0,0.0,0.19984548,0.0033843997,0.020910572,1.8888456,0.0,0.653196,7
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,3.963121,0.0,0.0,717.4843,187.22395,109.25827,109.25827,108.72791,109.09661,-1.0,-1.0,117.7807,1.216716,0.12939501,0.8664061,9.963415,-41.809937,8.522433,-1.0,0.0,0.0,0.20627004,0.0026771873,0.035693623,1.9130738,0.0,0.621574,7
3,26.0,2.0,90.0,2.0,0.0,0.0,0.0,0.0,2.519241,0.0,0.0,1072.3523,225.71922,127.70447,127.70447,127.60593,127.664116,-1.0,-1.0,136.58226,1.1935605,0.22304887,0.7760545,20.074398,8.223265,8.877792,-1.0,0.0,0.0,0.14684182,0.0016280402,0.027973197,1.9477118,0.0,0.601845,7
4,30.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.79129046,0.0,0.0,1491.2156,249.49213,136.2181,136.2181,136.62383,136.28162,-1.0,-1.0,146.303,1.2076241,0.589798,0.41152528,56.620605,102.83328,10.084894,-1.0,0.0,0.0,0.022683248,0.00024578112,0.013049622,1.9712406,0.0,0.5320365,7
0,14.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,11.7256775,0.0,0.0,253.76447,80.347305,48.24391,48.24391,46.78579,48.17428,-1.0,-1.0,49.51274,1.0714031,0.089095354,0.90680885,3.029242,-34.08634,1.268831,-1.0,0.0,0.0,0.24917112,0.0073235887,0.022095133,1.8505107,0.0,0.64627,8
1,18.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,8.081903,0.0,0.0,441.1964,120.93358,70.94693,70.94693,69.50161,70.81705,-1.0,-1.0,74.884224,1.1542279,0.0989264,0.8958786,4.94632,-41.27673,3.9372973,-1.0,0.0,0.0,0.28076032,0.0056174574,0.029992659,1.8728443,0.0,0.6414905,8
2,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.9937754,0.0,0.0,689.93994,157.05327,89.39313,89.39313,88.04947,89.28839,-1.0,-1.0,92.06212,1.081562,0.14350845,0.85316646,9.041032,-21.679876,2.6689909,-1.0,0.0,0.0,0.27737102,0.004402964,0.044890344,1.8941038,0.0,0.666348,8
3,26.0,2.0,70.0,2.0,0.0,0.0,0.0,0.0,4.8178964,0.0,0.0,999.9375,181.39738,99.3257,99.3257,98.30669,99.308914,-1.0,-1.0,102.46941,1.0874715,0.26557782,0.73394233,18.590448,18.941965,3.1437163,-1.0,0.0,0.0,0.24633545,0.0035174978,0.043471895,1.9120044,0.0,0.7135145,8
4,30.0,2.0,73.0,2.0,0.0,0.0,0.0,0.0,1.7900445,0.0,0.0,1341.7484,195.89758,103.58251,103.58251,103.0023,103.63086,-1.0,-1.0,105.41814,1.0491768,0.6455089,0.35581565,47.12215,81.5516,1.8356236,-1.0,0.0,0.0,0.076276995,0.0010468698,0.02962394,1.9158823,0.0,0.720394,8
0,14.0,2.0,42.0,2.0,0.0,0.0,0.0,0.0,5.9839573,0.0,0.0,248.0917,93.90987,59.595417,59.595417,58.655693,59.486458,-1.0,-1.0,63.857468,1.1992673,0.069464125,0.92534715,2.9174933,-47.08142,4.262049,-1.0,0.0,0.0,0.15100819,0.0035982565,0.026065767,1.8408632,0.0,0.632364,9
1,18.0,2.0,62.0,2.0,0.0,0.0,0.0,0.0,5.69661,0.0,0.0,432.0431,141.75087,87.97419,87.97419,86.87668,87.81082,-1.0,-1.0,94.08122,1.1933169,0.08448878,0.91024154,5.238304,-54.31051,6.1070333,-1.0,0.0,0.0,0.24736114,0.0039880252,0.034447525,1.8634273,0.0,0.645038,9
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.5913734,0.0,0.0,703.3269,183.37825,109.25827,109.25827,108.41714,109.09609,-1.0,-1.0,115.81241,1.1660883,0.12319404,0.87259394,9.485941,-32.394886,6.5541415,-1.0,0.0,0.0,0.24538177,0.0031844657,0.037510626,1.9033234,0.0,0.670834,9
3,26.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,3.2860336,0.0,0.0,1059.6268,216.27339,123.447655,123.447655,122.99935,123.40684,-1.0,-1.0,131.28802,1.1761217,0.2304347,0.76862687,20.04782,15.046642,7.8403726,-1.0,0.0,0.0,0.20461768,0.0023418597,0.03580329,1.941437,0.0,0.6838815,9
4,30.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,0.8980393,0.0,0.0,1477.108,236.30586,129.12341,129.12341,129.23225,129.18362,-1.0,-1.0,136.57414,1.160971,0.6066527,0.3946708,55.205395,99.0385,7.450736,-1.0,0.0,0.0,0.031639703,0.0003488231,0.017146558,1.9660156,0.0,0.655378,9
